toponym,offset
Greece,657
BURLADOR,658
ARGAMASILLA,659
CACHIDIABLO,660
ARGAMASILLA,661
TIQUITOC,662
ARGAMASILLA,663
LA MANCHA,664
TERESA PANZA,665
LA MANCHA,666
BARCELONA,667
BARCELONA,668
Emperor of China,669
China,670
Naples,671
Madrid,672
Tordesillas,673
Tarragona,674
Seville,675
Veintiquatro,676
Toledo,677
Toledo,678
Christendom,679
Naples,680
Sicily,681
Malta,682
Spain,683
Seville,684
Seville,685
Salamanca,686
Seville,687
Jupiter,688
Neptune,689
Senor Neptune,690
Senor Jupiter,691
Neptune,692
England,693
Greece,694
Hircania,695
Thrace,696
Turk,697
Jupiter,698
Sicily,699
France,700
Roland,701
Rotolando,702
Orlando,703
Medoro,704
Salamanca,705
"La
Mancha",706
Portugal,707
Barcelona,708
Valencia,709
Antwerp,710
Dulcinea del Toboso,711
Segovia,712
Sierra Morena,713
Santa Lucia,714
Sierra Morena,715
Sacripante,716
Albracca,717
Aragon,718
Saragossa,719
St. George,720
Aragon,721
Santiago,722
Spain,723
Spain,724
Morocco,725
Damascus,726
Egypt,727
Rome,728
Mars,729
Santa Apollonia,730
Salamanca,731
Santa Apollonia,732
El Toboso,733
El Toboso,734
El Toboso,735
Sierra Morena,736
Tagus,737
Rome,738
Rotunda,739
Rome,740
Rome,741
Rome,742
St. Angelo,743
Rome,744
Roland,745
El Toboso,746
El Toboso,747
Dulcinea,748
El Toboso,749
Dulcinea,750
France,751
Roncesvalles,752
Calainos,753
El Toboso,754
"Sierra
Morena",755
Dulcinea,756
Dulcinea,757
El Toboso,758
"El
Toboso",759
Ravena,760
Salamanca,761
El Toboso,762
El Toboso,763
La Mancha,764
Dulcinea,765
Saragossa,766
France,767
Dulcineas,768
El Toboso,769
Dulcinea,770
Pylades,771
"Casildea de
Vandalia",772
Navarre,773
"La
Mancha",774
Grove,775
Grove,776
Sierra Morena,777
Grove,778
Casildea de Vandalia,779
"La
Mancha",780
Saragossa,781
"Casildea de
Vandalia",782
Casildea,783
Seville,784
La Giralda,785
Guisando,786
Guisando,787
Spain,788
Spain,789
La Mancha,790
Casildea,791
Dulcinea,792
Spain,793
Andalusia,794
Andalusia,795
Grove,796
Grove,797
Vandalia,798
Casildea de Vandalia,799
El Toboso,800
Dulcinea del Toboso,801
Casildea,802
La Mancha,803
Saragossa,804
LA MANCHA,805
Dulcinea,806
Dulcinea,807
La Mancha,808
Spain,809
Salamanca,810
Salamanca,811
Oran,812
Africa,813
Spain,814
La Mancha,815
Dulcinea,816
Africa,817
El Toboso,818
Cyprus,819
Athens,820
Paris,821
Salamanca,822
Cyprus,823
Saragossa,824
La Mancha,825
Quiteria,826
Quiteria,827
Salamanca,828
Majalahonda,829
Salamanca,830
Quiteria,831
Aurora,832
Cuenca,833
Quiteria,834
Quiteria,835
Quiteria,836
Quiteria,837
Quiteria,838
Quiteria,839
Egypt,840
LA MANCHA,841
La Mancha,842
Spain,843
Ovid,844
Ovid,845
Seville,846
Vecinguerra,847
Guisando,848
"Sierra
Morena",849
Leganitos,850
Madrid,851
Piojo,852
Priora,853
La Mancha,854
Roncesvalles,855
Belerma,856
France,857
La Mancha,858
Ruidera,859
Spain,860
Portugal,861
Durandarte,862
Dulcinea del Toboso,863
Dulcinea del Toboso,864
Dulcinea del Toboso,865
El Toboso,866
Britain,867
Dulcinea,868
Belerma,869
Mantua,870
Portugal,871
La Mancha,872
Ovid,873
France,874
Polydore Vergil,875
Spain,876
Spain,877
Melisendra,878
Italy,879
Hercules,880
La Mancha,881
Spain,882
Spain,883
Sansuena,884
Saragossa,885
Saragossa,886
France,887
Paris,888
Sansuena,889
France,890
Paris,891
Sansuena,892
Spain,893
Castile,894
La Mancha,895
Saragossa,896
France,897
France,898
Sierra Morena,899
Albracca,900
Aragon,901
Barbary,902
La Mancha,903
Ebro,904
Saragossa,905
Zamora,906
Ballenatos,907
Sierra Morena,908
Ebro,909
Ebro,910
Cadiz,911
East Indies,912
Dulcinea,913
La Mancha,914
Britain,915
Santiago,916
