toponym,offset,latitude,longitude
Moscow,1676,55.75,37.5
Mozhaysk,1680,55.50194,36.02722
Mozhaysk,1681,55.50194,36.02722
Moscow,1682,55.75,37.5
Borodino,1684,55.9061,94.9079
Borodino,1686,55.9061,94.9079
Borodino,1687,55.9061,94.9079
Moscow,1688,55.75,37.5
Moscow,1689,55.75,37.5
Borodino,1690,55.9061,94.9079
Moscow,1691,55.75,37.5
Vienna,1692,48.20849,16.37208
Smolensk,1693,54.7818,32.0401
Moscow,1694,55.75,37.5
Smolensk,1695,54.7818,32.0401
Borodino,1696,55.9061,94.9079
Borodino,1697,55.9061,94.9079
Smolensk,1698,54.7818,32.0401
Borodino,1699,55.9061,94.9079
Moscow,1700,55.75,37.5
Smolensk,1701,54.7818,32.0401
Borodino,1702,55.9061,94.9079
Borodino,1704,55.9061,94.9079
Borodino,1705,55.9061,94.9079
Borodino,1706,55.9061,94.9079
Borodino,1707,55.9061,94.9079
Borodino,1708,55.9061,94.9079
Borodino,1709,55.9061,94.9079
Borodino,1712,55.9061,94.9079
Borodino,1714,55.9061,94.9079
Smolensk,1715,54.7818,32.0401
Moscow,1716,55.75,37.5
Borodino,1719,55.9061,94.9079
Borodino,1722,55.9061,94.9079
Russia,1723,60.0,100.0
Borodino,1725,55.9061,94.9079
Borodino,1728,55.9061,94.9079
Borodino,1729,55.9061,94.9079
Borodino,1730,55.9061,94.9079
Moscow,1731,55.75,37.5
Moscow,1732,55.75,37.5
Mozhaysk,1734,55.50194,36.02722
Mozhaysk,1735,55.50194,36.02722
Smolensk,1736,54.7818,32.0401
Borodino,1737,55.9061,94.9079
Borodino,1742,55.9061,94.9079
Borodino,1745,55.9061,94.9079
Smolensk,1746,54.7818,32.0401
Mozhaysk,1747,55.50194,36.02722
Gorki,1751,56.32867,44.00205
Moscow,1753,55.75,37.5
Borodino,1756,55.9061,94.9079
Borodino,1757,55.9061,94.9079
Austerlitz,1760,49.15325,16.87649
Russia,1761,60.0,100.0
Moscow,1763,55.75,37.5
Moscow,1764,55.75,37.5
Moscow,1765,55.75,37.5
Moscow,1766,55.75,37.5
Moscow,1767,55.75,37.5
Moscow,1768,55.75,37.5
Moscow,1769,55.75,37.5
Smolensk,1771,54.7818,32.0401
Russia,1772,60.0,100.0
Austerlitz,1775,49.15325,16.87649
Moscow,1780,55.75,37.5
Mozhaysk,1781,55.50194,36.02722
Moscow,1782,55.75,37.5
Smolensk,1783,54.7818,32.0401
Russia,1784,60.0,100.0
Austria,1785,47.33333,13.33333
Petersburg,1787,59.89444,30.26417
Borodino,1788,55.9061,94.9079
Paris,1790,48.85341,2.3488
Madrid,1791,40.4165,-3.70256
"Eau
de Cologne",1793,50.93333,6.95
Salamanca,1794,40.96882,-5.66388
Moscow,1796,55.75,37.5
Paris,1797,48.85341,2.3488
Paris,1798,48.85341,2.3488
Moscow,1799,55.75,37.5
Moscow,1800,55.75,37.5
Austria,1801,47.33333,13.33333
Rome,1802,41.89474,12.4839
Rome,1803,41.89474,12.4839
Paris,1804,48.85341,2.3488
Rome,1805,41.89474,12.4839
Rome,1806,41.89474,12.4839
Rome,1807,41.89474,12.4839
Austerlitz,1808,49.15325,16.87649
Vitebsk,1809,55.1904,30.2049
Smolensk,1810,54.7818,32.0401
Moscow,1811,55.75,37.5
Moscow,1812,55.75,37.5
Friant,1813,36.98773,-119.71181
Friant,1814,36.98773,-119.71181
Mozhaysk,1815,55.50194,36.02722
Borodino,1817,55.9061,94.9079
Borodino,1818,55.9061,94.9079
Borodino,1819,55.9061,94.9079
Borodino,1821,55.9061,94.9079
Russia,1822,60.0,100.0
Russia,1823,60.0,100.0
France,1824,46.0,2.0
Russia,1825,60.0,100.0
Russia,1826,60.0,100.0
Borodino,1827,55.9061,94.9079
Russia,1828,60.0,100.0
Russia,1829,60.0,100.0
Russia,1831,60.0,100.0
Russia,1832,60.0,100.0
Borodino,1834,55.9061,94.9079
Borodino,1835,55.9061,94.9079
Moscow,1836,55.75,37.5
Moscow,1837,55.75,37.5
Moscow,1838,55.75,37.5
Borodino,1839,55.9061,94.9079
Borodino,1840,55.9061,94.9079
Paris,1841,48.85341,2.3488
Smolensk,1842,54.7818,32.0401
Smolensk,1843,54.7818,32.0401
Braunau,1844,48.25628,13.04343
Smolensk,1847,54.7818,32.0401
Borodino,1848,55.9061,94.9079
Borodino,1849,55.9061,94.9079
Borodino,1850,55.9061,94.9079
Borodino,1851,55.9061,94.9079
Borodino,1852,55.9061,94.9079
Borodino,1853,55.9061,94.9079
Borodino,1854,55.9061,94.9079
Kamenka,1855,49.0318,32.10396
Borodino,1857,55.9061,94.9079
Borodino,1858,55.9061,94.9079
Borodino,1860,55.9061,94.9079
Borodino,1861,55.9061,94.9079
Borodino,1862,55.9061,94.9079
Borodino,1863,55.9061,94.9079
Borodino,1864,55.9061,94.9079
Naples,1865,40.83333,14.25
Friant,1866,36.98773,-119.71181
Friant,1867,36.98773,-119.71181
Friant,1868,36.98773,-119.71181
Austerlitz,1869,49.15325,16.87649
