toponym,offset
Pequod,984
Virginia,985
Rome,986
Sahara,987
Ecclesiastes,988
Catskill,989
Pequod,990
Holland,991
Greece,992
Boston,993
Quito,994
South America,995
QUITO,996
Andes,997
Andes,998
Libra,999
Negro Hill,1000
Spain,1001
Peru,1002
Bolivia,1003
Popayan,1004
Golconda,1005
Massachusetts,1006
Massachusetts,1007
Copenhagen,1008
Queequeg,1009
Tolland,1010
Nantucket,1011
London,1012
East,1013
Mounttop,1014
Lima,1015
White Whales,1016
Manilla,1017
London,1018
Nantucket,1019
North,1020
South Atlantic,1021
South Sea,1022
Pacific,1023
South Sea,1024
Japan,1025
Syren,1026
Syren,1027
South Sea,1028
Patagonian,1029
Patagonia,1030
Amsterdam,1031
Santa Claus,1032
Holland,1033
Geneva,1034
Greenland,1035
Spitzbergen,1036
Spitzbergen,1037
Nantucket,1038
New Bedford,1039
Tranque,1040
Algiers,1041
Tranque,1042
Pupella,1043
Pupella,1044
Pupella,1045
England,1046
Manchester,1047
New Hampshire,1048
Greenland,1049
United States,1050
Yorkshire,1051
England,1052
Greenland,1053
Tranque,1054
Alps,1055
Lombardy,1056
France,1057
England,1058
Scotland,1059
Louisiana,1060
Mississippi,1061
Alabama,1062
Rue Dauphine,1063
Paris,1064
Antwerp,1065
Alabama,1066
Alabama,1067
Andes,1068
Denderah,1069
Whale-Bones,1070
Mahomet,1071
Alabama,1072
Iceland,1073
Nineveh,1074
Illinois,1075
Missouri,1076
Illinois,1077
London,1078
West,1079
Goa,1080
Siam,1081
Asia,1082
Americas,1083
Europe,1084
Africa,1085
New Holland,1086
Windsor Castle,1087
Kremlin,1088
Netherlands,1089
London,1090
Nantucket,1091
Pequod,1092
Pequod,1093
PARVO,1094
Thames Tunnel,1095
Cabin,1096
South,1097
West the Pequod,1098
Bashee Isles,1099
China,1100
Pacific,1101
Matsmai,1102
Japan,1103
Nantucket,1104
South-Sea-men,1105
Queequeg,1106
Queequeg,1107
Queequeg,1108
Queequeg,1109
Queequeg,1110
Queequeg,1111
Nantucket,1112
Nantucket,1113
Nantucket,1114
Queequeg,1115
Queequeg,1116
Queequeg,1117
Long Island,1118
Queequeg,1119
Queequeg,1120
Queequeg,1121
Queequeg,1122
Queequeg,1123
Queequeg,1124
Queequeg,1125
Queequeg,1126
Queequeg,1127
Queequeg,1128
Queequeg,1129
Queequeg,1130
Queequeg,1131
Queequeg,1132
Pacific,1133
"South
Sea",1134
Pacific,1135
Pacific,1136
Atlantic,1137
Japans,1138
Bashee,1139
White Whale,1140
Perth,1141
West,1142
Perth,1143
Perth,1144
Perth,1145
Perth,1146
Perth,1147
Perth,1148
Perth,1149
Perth,1150
Perth,1151
Perth,1152
Perth,1153
Perth,1154
Perth,1155
Queequeg,1156
White Whale,1157
Pequod,1158
Nantucket,1159
Long Island,1160
Nantucket,1161
Manilla,1162
America,1163
Bengal,1164
Cuba,1165
Ocean,1166
Ocean,1167
Ocean,1168
Cape,1169
Nantucket,1170
Himmalehs,1171
Andes,1172
Queequeg,1173
Pequod,1174
Herculaneum,1175
Perth,1176
Pequod,1177
Pequod,1178
Japan,1179
Pequod,1180
East,1181
East,1182
Pequod,1183
Manxman,1184
Tahiti,1185
Pip,1186
Perth,1187
White Whale,1188
Queequeg,1189
Queequeg,1190
Queequeg,1191
Albemarle,1192
Gallipagos,1193
Pequod,1194
Pequod,1195
Nantucket,1196
Fedallah,1197
Queequeg,1198
Rome,1199
Perth,1200
White Whale,1201
Equator,1202
Pacific,1203
Nantucket,1204
Nantucket,1205
Nantucket,1206
Andes,1207
Atlantic,1208
White Whale,1209
Crete,1210
Virginia,1211
Perth,1212
Eddystone,1213
White Whale,1214
South sea,1215
Nantucket,1216
"White
Whale",1217
White Whale,1218
White Whale,1219
White Whale,1220
"White
Whale",1221
White Whale,1222
Greenland,1223
Nantucket,1224
White Whale,1225
Queequeg,1226
Tashtego,1227
Queequeg,1228
Tashtego,1229
"White
Whale",1230
White Whale,1231
United States,1232
United States,1233
United States,1234
United States,1235
United States,1236
United States,1237
"United
States",1238
United States,1239
Mississippi,1240
U.S.,1241
"Melan Dr. S.
Fairbanks",1242
Salt Lake City,1243
UT,1244
"United
States",1245
United States,1246
U.S.,1247
U.S.,1248
