toponym,offset
Elko,763
United States,764
Utah,765
Israel,766
Vermont,767
America,768
England,769
Norway,770
Sweden,771
Germany,772
Ohio,773
Kirkland,774
Missouri,775
Far West,776
Illinois,777
Nauvoo,778
Mississippi,779
United States,780
Carthage,781
Nauvoo,782
Great Salt Lake,783
Utah,784
California,785
Utah,786
Vermont,787
Illinois,788
Ohio,789
Missouri,790
Utah,791
"Great Salt
Lake",792
Dead Sea,793
Jordan,794
Salt Lake,795
Lake Asphaltite,796
Jordan,797
Ogden,798
Salt Lake City,799
Jordan,800
Wahsatch Range,801
Utah,802
Salt Lake City,803
Great Salt Lake,804
Ogden,805
Weber River,806
San Francisco,807
Wahsatch Mountains,808
Rocky Mountains,809
Great Salt Lake,810
Bitter Creek Valley,811
Atlantic,812
Pacific,813
Muddy Creek,814
Green Creek,815
Fort Bridger,816
Wyoming,817
Bitter Creek,818
Green River,819
Green River,820
"San
Francisco",821
America,822
New York,823
Europe,824
Bridger Pass,825
Rocky Mountains,826
Atlantic,827
Atlantic,828
North Platte River,829
Rocky Mountains,830
"Arkansas
River",831
Missouri,832
"Fort
Halleck",833
"Rocky
Mountains",834
Omaha,835
Medicine Creek,836
Cheyne Pass,837
Atlantic,838
Denver,839
Colorado,840
"San
Francisco",841
New York,842
Lodge Pole Creek,843
Wyoming,844
Colorado,845
Nebraska,846
Sedgwick,847
Julesburg,848
Platte River,849
Sioux,850
Omaha,851
Platte River,852
North Platte,853
Missouri,854
Omaha,855
Aouda,856
Europe,857
"San
Francisco",858
America,859
England,860
New York,861
Chicago,862
America,863
Sioux,864
Sioux,865
Sioux,866
Sioux,867
Sioux,868
Fort Kearney,869
Sioux,870
Fort Kearney,871
Kearney,872
Sioux,873
Sioux,874
Sioux,875
Republican River,876
Aouda,877
New York,878
Sioux,879
Arkansas,880
Fort Kearney,881
Omaha,882
San Francisco,883
Fort Kearney,884
Omaha,885
Fort Kearney,886
San Francisco,887
Fort Kearney,888
Sioux,889
Fort Kearney,890
Omaha,891
New York,892
New York,893
Omaha,894
Chicago,895
New York,896
"Fort
Kearney",897
Europe,898
England,899
England,900
Omaha,901
Omaha,902
Omaha,903
Great Island,904
Columbus,905
Nebraska,906
Fremont,907
Omaha,908
Platte River,909
Platte River,910
New York,911
Omaha,912
Sioux,913
Platte River,914
Omaha,915
Atlantic,916
Omaha,917
Pacific Railroad,918
Nebraska,919
Omaha,920
Chicago,921
Chicago,922
