toponym,offset,latitude,longitude
Missouri,419,38.25031,-92.50046
Georgia,420,32.75042,-83.50018
Texas,421,31.25044,-99.25061
California,422,35.125624,-118.021353
West,424,31.80238,-97.09167
America,427,39.76,-98.5
Idaho,429,44.5002,-114.25118
California,432,35.125624,-118.021353
Colorado,433,39.00027,-105.50083
India,434,20.0,77.0
China,435,35.0,105.0
Australia,436,-25.0,135.0
Pacific,437,38.482,-90.74152
America,438,39.76,-98.5
White House,439,36.47032,-86.65138
America,443,39.76,-98.5
Colorado,444,39.00027,-105.50083
Nebraska,445,40.477613,-95.727978
Arkansas,446,33.981735,-91.5578
Missouri,447,38.25031,-92.50046
West,448,31.80238,-97.09167
France,449,46.0,2.0
Paris,450,48.85341,2.3488
France,451,46.0,2.0
Virginia,453,37.54812,-77.44675
Manhattan,455,40.742185,-73.992602
England,456,52.16045,-0.70312
Manhattan,457,40.742185,-73.992602
Egypt,458,27.0,30.0
India,459,20.0,77.0
Greece,461,39.0,22.0
Rome,462,41.89474,12.4839
America,463,39.76,-98.5
China,465,35.0,105.0
Teutonia,466,-29.44806,-51.80639
America,467,39.76,-98.5
America,468,39.76,-98.5
Manhattan,471,40.742185,-73.992602
Manhattan,472,40.742185,-73.992602
Broadway,473,38.61317,-78.79891
Manhattan,474,40.742185,-73.992602
Orient,475,41.13899,-72.30342
Great Sea,478,47.60621,-122.33207
Altay,480,52.5,83.0
China,481,35.0,105.0
Malaysia,482,2.5,112.5
America,483,39.76,-98.5
England,485,52.16045,-0.70312
Alabama,487,32.75041,-86.75026
Alabama,488,32.75041,-86.75026
Senegal,496,14.0,-14.0
America,497,39.76,-98.5
Jupiter,498,26.93422,-80.09421
Jupiter,499,26.93422,-80.09421
Boston,501,42.35843,-71.05977
Boston,502,42.35843,-71.05977
Boston,503,42.35843,-71.05977
England,504,52.16045,-0.70312
Boston,505,42.35843,-71.05977
America,507,39.76,-98.5
East,509,27.23998,87.14802
West,510,31.80238,-97.09167
Manhattan,511,40.742185,-73.992602
Manhattan,512,40.742185,-73.992602
Manhattan,513,40.742185,-73.992602
Manhattan,515,40.742185,-73.992602
Manhattan,516,40.742185,-73.992602
Illinois,517,40.00032,-89.25037
Indiana,518,40.00032,-86.25027
Pennsylvania,519,40.696298,-77.995133
Ohio,520,40.25034,-83.00018
Tennessee,521,36.538846,-87.364887
Chattanooga,523,35.04563,-85.30968
Michigan,525,44.25029,-85.50033
Wisconsin,526,44.392496,-89.818139
